repository,file_name,file_path,file_extension,line_count,character_count,source_code,commit_count,total_files_changed,total_insertions,total_deletions,total_lines_changed,unique_authors
pytest,py.py,src/py.py,.py,15,329,"# shim for pylib going away
# if pylib is installed this file will get skipped
# (`py/__init__.py` has higher precedence)
from __future__ import annotations

import sys

import _pytest._py.error as error
import _pytest._py.path as path


sys.modules[""py.error""] = error
sys.modules[""py.path""] = path

__all__ = [""error"", ""path""]
",17773,80631,1553431,1121088,2674519,1172
pytest,__main__.py,src/pytest/__main__.py,.py,9,175,"""""""The pytest entry point.""""""

from __future__ import annotations

from _pytest.config import _console_main


if __name__ == ""__main__"":
    raise SystemExit(_console_main())
",17773,80631,1553431,1121088,2674519,1172
pytest,__init__.py,src/pytest/__init__.py,.py,192,5801,"# PYTHON_ARGCOMPLETE_OK
""""""pytest: unit and functional testing with Python.""""""

from __future__ import annotations

from _pytest import __version__
from _pytest import version_tuple
from _pytest._code import ExceptionInfo
from _pytest.approx import Approx
from _pytest.approx import approx
from _pytest.assertion import register_assert_rewrite
from _pytest.cacheprovider import Cache
from _pytest.capture import CaptureFixture
from _pytest.config import cmdline
from _pytest.config import Config
from _pytest.config import console_main
from _pytest.config import ExitCode
from _pytest.config import hookimpl
from _pytest.config import hookspec
from _pytest.config import main
from _pytest.config import PytestPluginManager
from _pytest.config import UsageError
from _pytest.config.argparsing import OptionGroup
from _pytest.config.argparsing import Parser
from _pytest.debugging import pytestPDB as __pytestPDB
from _pytest.doctest import DoctestItem
from _pytest.fixtures import fixture
from _pytest.fixtures import FixtureDef
from _pytest.fixtures import FixtureLookupError
from _pytest.fixtures import FixtureRequest
from _pytest.fixtures import register_fixture
from _pytest.fixtures import yield_fixture  # type: ignore[deprecated]
from _pytest.freeze_support import freeze_includes
from _pytest.legacypath import TempdirFactory
from _pytest.legacypath import Testdir
from _pytest.logging import LogCaptureFixture
from _pytest.main import Dir
from _pytest.main import Session
from _pytest.mark import HIDDEN_PARAM
from _pytest.mark import Mark
from _pytest.mark import MARK_GEN as mark
from _pytest.mark import MarkDecorator
from _pytest.mark import MarkGenerator
from _pytest.mark import param
from _pytest.monkeypatch import MonkeyPatch
from _pytest.nodes import Collector
from _pytest.nodes import Directory
from _pytest.nodes import File
from _pytest.nodes import Item
from _pytest.outcomes import exit
from _pytest.outcomes import fail
from _pytest.outcomes import importorskip
from _pytest.outcomes import skip
from _pytest.outcomes import xfail
from _pytest.pytester import HookRecorder
from _pytest.pytester import LineMatcher
from _pytest.pytester import Pytester
from _pytest.pytester import RecordedHookCall
from _pytest.pytester import RunResult
from _pytest.python import Class
from _pytest.python import Function
from _pytest.python import Metafunc
from _pytest.python import Module
from _pytest.python import Package
from _pytest.raises import raises
from _pytest.raises import RaisesExc
from _pytest.raises import RaisesGroup
from _pytest.recwarn import deprecated_call
from _pytest.recwarn import WarningsRecorder
from _pytest.recwarn import warns
from _pytest.reports import CollectReport
from _pytest.reports import TestReport
from _pytest.runner import CallInfo
from _pytest.scope import ScopeName
from _pytest.stash import Stash
from _pytest.stash import StashKey
from _pytest.subtests import SubtestReport
from _pytest.subtests import Subtests
from _pytest.terminal import TerminalReporter
from _pytest.terminal import TestShortLogReport
from _pytest.tmpdir import TempPathFactory
from _pytest.warning_types import PytestApproxDecimalToleranceWarning
from _pytest.warning_types import PytestAssertRewriteWarning
from _pytest.warning_types import PytestCacheWarning
from _pytest.warning_types import PytestCollectionWarning
from _pytest.warning_types import PytestConfigWarning
from _pytest.warning_types import PytestDeprecationWarning
from _pytest.warning_types import PytestExperimentalApiWarning
from _pytest.warning_types import PytestFDWarning
from _pytest.warning_types import PytestRemovedIn10Warning
from _pytest.warning_types import PytestReturnNotNoneWarning
from _pytest.warning_types import PytestUnhandledThreadExceptionWarning
from _pytest.warning_types import PytestUnknownMarkWarning
from _pytest.warning_types import PytestUnraisableExceptionWarning
from _pytest.warning_types import PytestWarning


set_trace = __pytestPDB.set_trace


__all__ = [
    ""HIDDEN_PARAM"",
    ""Approx"",
    ""Cache"",
    ""CallInfo"",
    ""CaptureFixture"",
    ""Class"",
    ""CollectReport"",
    ""Collector"",
    ""Config"",
    ""Dir"",
    ""Directory"",
    ""DoctestItem"",
    ""ExceptionInfo"",
    ""ExitCode"",
    ""File"",
    ""FixtureDef"",
    ""FixtureLookupError"",
    ""FixtureRequest"",
    ""Function"",
    ""HookRecorder"",
    ""Item"",
    ""LineMatcher"",
    ""LogCaptureFixture"",
    ""Mark"",
    ""MarkDecorator"",
    ""MarkGenerator"",
    ""Metafunc"",
    ""Module"",
    ""MonkeyPatch"",
    ""OptionGroup"",
    ""Package"",
    ""Parser"",
    ""PytestApproxDecimalToleranceWarning"",
    ""PytestAssertRewriteWarning"",
    ""PytestCacheWarning"",
    ""PytestCollectionWarning"",
    ""PytestConfigWarning"",
    ""PytestDeprecationWarning"",
    ""PytestExperimentalApiWarning"",
    ""PytestFDWarning"",
    ""PytestPluginManager"",
    ""PytestRemovedIn10Warning"",
    ""PytestReturnNotNoneWarning"",
    ""PytestUnhandledThreadExceptionWarning"",
    ""PytestUnknownMarkWarning"",
    ""PytestUnraisableExceptionWarning"",
    ""PytestWarning"",
    ""Pytester"",
    ""RaisesExc"",
    ""RaisesGroup"",
    ""RecordedHookCall"",
    ""RunResult"",
    ""ScopeName"",
    ""Session"",
    ""Stash"",
    ""StashKey"",
    ""SubtestReport"",
    ""Subtests"",
    ""TempPathFactory"",
    ""TempdirFactory"",
    ""TerminalReporter"",
    ""TestReport"",
    ""TestShortLogReport"",
    ""Testdir"",
    ""UsageError"",
    ""WarningsRecorder"",
    ""__version__"",
    ""approx"",
    ""cmdline"",
    ""console_main"",
    ""deprecated_call"",
    ""exit"",
    ""fail"",
    ""fixture"",
    ""freeze_includes"",
    ""hookimpl"",
    ""hookspec"",
    ""importorskip"",
    ""main"",
    ""mark"",
    ""param"",
    ""raises"",
    ""register_assert_rewrite"",
    ""register_fixture"",
    ""set_trace"",
    ""skip"",
    ""version_tuple"",
    ""warns"",
    ""xfail"",
    ""yield_fixture"",
]
",17773,80631,1553431,1121088,2674519,1172
pytest,stepwise.py,src/_pytest/stepwise.py,.py,219,8112,"from __future__ import annotations

import dataclasses
from datetime import datetime
from datetime import timedelta
from typing import Any
from typing import TYPE_CHECKING

from _pytest import nodes
from _pytest.cacheprovider import Cache
from _pytest.config import Config
from _pytest.config.argparsing import Parser
from _pytest.main import Session
from _pytest.nodeid import NodeId
from _pytest.reports import TestReport


if TYPE_CHECKING:
    from typing_extensions import Self

STEPWISE_CACHE_DIR = ""cache/stepwise""


def pytest_addoption(parser: Parser) -> None:
    group = parser.getgroup(""general"")
    group.addoption(
