Character,Word,Subword-BPE
57230,10277,11381
43547,7314,7767
17387,3253,3656
7703,1197,1362
2913,797,975
424,85,91
40804,7181,8058
4524,890,1074
49206,8273,9075
16099,2536,2928
28585,4798,5353
62709,10569,11643
88768,14308,15305
45243,8093,8636
24390,4251,4357
18550,2970,4115
44511,7610,8047
9263,1671,1795
13720,2042,2561
4171,585,739
52656,10134,11506
38211,8476,9829
19583,3162,3785
4337,743,888
300,49,61
5911,929,1077
35566,6394,7487
30452,6306,7112
22020,3861,4136
16836,2705,3221
500,93,113
21822,5248,5832
46699,7987,9133
30147,5814,6732
22085,5206,5611
38502,6249,7059
11585,1785,2072
33988,7135,7827
12628,2115,2395
18427,3703,4369
2888,636,692
92663,17027,19126
7476,1302,1453
7869,1277,1832
756,169,175
1303,195,218
828,162,164
305,59,64
662,103,133
752,128,152
1896,263,332
35154,6031,6408
18649,3271,3393
12359,2202,2377
20231,3468,3839
52591,8639,9399
21099,3525,3806
6283,1104,1148
1468,197,242
24684,4332,4500
13095,2294,2573
9745,2128,2370
5142,1269,1487
7097,1472,1861
8147,1301,1471
88357,18088,20182
20792,4325,4775
9297,2189,2592
5443,1109,1369
7572,1666,1882
3547,672,783
13746,2838,3136
60522,9502,10405
15249,2513,2644
661,107,118
98554,18953,20847
15257,2874,3177
14998,2749,3078
7983,1492,1642
8838,1510,1715
320,56,74
66188,10850,12323
1566,376,415
7979,1708,1995
36960,7819,8888
4137,901,1043
68141,12205,13189
44790,7779,8601
509,107,119
3483,683,716
1840,393,515
6380,1310,1454
2458,468,604
458,88,132
4952,1550,1786
768,192,232
63015,18265,21199
11718,2617,2941
173,39,51
217,35,65
69308,19447,22425
13247,2976,3346
6262,1207,1475
16238,3496,3854
52936,11905,13011
5103,1049,1334
4328,674,715
11556,1935,2244
761,119,148
22167,3358,3850
11805,2028,2484
7603,1117,1277
7699,1377,1722
14245,2446,2925
7937,1395,1722
6283,1026,1230
7855,1525,1852
19020,2981,3606
179,30,44
9470,1647,1835
79,20,20
5535,895,1035
2218,406,413
557,78,83
33197,5637,6027
11432,2051,2225
20285,3843,4296
43663,8657,9471
1637,351,377
61407,10038,11299
79,20,20
34615,5883,6512
41212,7912,8881
35309,6470,7242
448,105,120
1684,374,439
155867,29980,32264
67884,12894,13740
7603,1324,1457
5018,571,754
92534,18598,20327
89854,16892,18624
40742,6268,7010
101605,17017,21025
134132,30243,32429
65757,13972,15635
53061,10163,11858
26252,5753,6275
98138,23164,24991
60891,10386,12006
14994,3011,3675
17363,2822,3063
15101,2624,2802
79,20,20
34959,5403,5714
26469,4311,4559
14706,2386,2588
19314,3601,3875
4327,850,914
26401,4679,5052
13487,2717,2999
30309,5389,5827
6007,1102,1212
30032,4708,5335
5163,745,886
3647,726,873
17980,3322,3906
1509,198,285
45468,8929,10025
10320,1968,2470
12269,2875,3290
1719,432,486
19629,4432,5143
91022,14907,16102
43135,7761,8870
596,89,105
5157,1156,1363
1750,339,468
14489,2842,3346
25480,5869,6805
1462,285,341
1483,349,384
130366,27829,31237
19374,3594,4248
29370,5552,6160
13972,2375,2544
1278,192,258
40794,7330,7907
9097,1496,1635
36429,5837,7079
7516,1802,2074
22422,4060,4712
1587,340,390
11455,2601,3144
38369,6738,8854
42,7,11
198,40,47
312,62,69
34,5,6
18194,4091,4584
2072,424,464
986,207,223
872,242,311
607,126,128
1845,427,478
744,161,181
10130,1607,1707
6400,1448,1633
33336,6047,7188
4669,1256,1349
4498,846,1035
38,9,10
6882,1623,1768
18988,4168,4497
714,194,258
605,130,132
6517,1217,1550
1050,222,252
10795,1707,1781
5666,1307,1496
1903,499,540
108,25,27
4560,1086,1215
641,127,147
11896,1884,1991
33803,7806,8579
333,71,95
2140,468,532
685,138,158
12242,1985,2125
10432,2179,2431
14681,3218,3484
3163,699,741
12833,2742,3190
13392,2622,2943
1356,244,337
6638,1428,1601
8975,1858,2043
15555,3258,3613
8271,1817,1939
6288,1279,1372
3045,816,913
4581,977,1045
340,45,73
37397,6801,7849
20043,4007,4577
715,126,151
2170,415,517
36,9,10
1803,204,294
1023,207,221
5549,1289,1426
1348,362,382
11284,2566,2794
411,66,88
681,152,164
3064,687,760
1993,457,497
2794,662,728
1450,352,449
1491,348,385
1479,271,283
16133,3156,3957
2922,569,870
23691,4229,5121
16333,2803,3094
15281,2728,3028
17986,3065,3214
7483,1232,1350
1524,225,276
33410,6164,6815
34215,5616,6674
78693,13644,14641
81635,15716,17625
26568,5061,5543
22643,3983,4504
11748,2055,2219
12216,2500,2806
16897,3345,3666
15916,3472,3802
31546,6158,6769
41613,8542,9581
7544,1628,1786
4032,873,1034
16308,3025,3554
21023,4222,4616
32808,7214,7964
18502,3252,4026
11590,1959,2034
210003,35789,39764
6582,1153,1233
71257,11886,13199
10029,1758,1903
1485,272,321
19905,3869,4665
5004,976,1068
5457,1098,1241
15136,2411,2844
48233,9006,10124
8102,1247,1476
1223,204,212
15666,2947,3625
2431,455,511
2395,375,448
13692,2414,2627
28596,4939,5440
24036,4559,5016
24891,5526,6027
112248,19936,21834
8743,1437,1649
10934,2019,2191
1735,267,297
17520,2912,3255
2586,426,498
9353,1715,1869
2972,627,663
1233,221,257
1501,282,292
55297,9533,10895
611,94,118
3798,693,783
2175,406,471
51778,10033,11175
2945,527,592
21357,4178,4556
3489,628,703
5714,1056,1156
11770,2152,2441
7968,2044,2601
1155,168,282
20323,3647,4152
12957,3118,3337
2262,395,483
2371,396,485
2930,535,629
37643,7952,9052
1355,322,368
16662,2753,2944
709,152,169
4801,826,951
27769,4718,5245
1036,163,207
1846,391,454
16107,3150,3673
1740,294,391
1820,405,462
537,115,120
63256,9915,11949
1772,384,452
6051,1122,1438
7149,1386,1648
7589,1306,1474
5895,1163,1327
813,152,166
665,136,158
2516,532,754
25574,5439,6172
8257,2024,2130
2008,380,512
2107,318,408
23777,5440,5922
6709,1725,2059
8351,1861,2045
489,92,103
3047,520,567
88056,17651,19705
35663,6979,7873
33390,5473,6537
6501,1260,1515
2226,539,631
1361,303,356
20497,4151,4557
24474,4498,5077
41119,8585,10014
735,151,180
55206,8431,9700
79,20,20
21097,3370,4065
6113,1140,1546
2654,444,550
79,20,20
6412,1022,1190
4521,749,944
2413,347,517
5177,811,1043
5918,990,1273
5803,1348,1587
8346,1593,1898
7905,1527,1888
22022,3829,4653
50999,8433,9466
1671,231,269
20409,3557,3819
68455,10736,12028
16964,2757,2947
27088,4546,5012
35348,6596,7097
130760,23465,25639
6820,1240,1402
19269,3784,4088
30306,6045,6766
47552,9690,10757
109048,22555,25206
83775,18609,20385
32738,6836,7420
21133,4659,5038
82531,13706,15514
22134,4021,4607
45157,8134,9286
26062,4175,5023
1675,245,346
2439,418,447
20329,3644,4071
19608,3249,3681
49491,8702,9550
20752,3640,3964
31014,5421,6134
20733,3803,4134
1965,365,455
8606,1695,2015
33144,6311,7360
20336,3968,4658
5567,1214,1365
11898,2339,2618
9154,1755,2011
880,169,188
7196,1596,1851
25431,5718,7055
49197,9694,10813
17093,3689,4068
11828,2340,2590
41786,7214,8536
79,20,20
2065,410,489
271,54,65
37009,7090,7860
23601,5184,6826
42890,7144,7784
376,67,74
38455,6280,7216
14967,2407,2852
7217,1521,1647
17540,4674,5166
3361,648,754
65814,14164,15443
162,33,34
4987,813,832
6811,1108,1188
1880,356,456
33394,5334,6115
21158,3476,3807
306,49,57
35904,6268,6833
1178,219,232
17040,2791,3261
56034,10026,11719
29065,5267,5928
120711,21913,23464
39398,7459,8177
94072,15890,17217
104696,18504,19602
12350,2279,2580
31048,5783,6229
83080,15501,16663
12752,2449,2692
10552,1951,2131
2766,398,489
7593,1329,1381
39958,7048,7569
15719,2711,3136
108707,19775,21451
21164,3681,3931
25710,4010,4610
343,55,68
46078,8219,8792
67199,12134,13829
3027,694,778
50638,10433,11438
79,20,20
9749,1813,1972
16794,3052,3572
9344,1900,2169
17912,3517,4004
25872,5029,5578
31219,6203,7168
117708,24104,26371
11933,2707,3002
9938,2261,2720
74756,16702,18043
7615,1556,1805
10689,2493,2718
29667,6495,7399
11817,2541,2751
2608,602,637
12983,2917,3114
95558,20236,22056
65569,14394,15940
21808,3765,4217
481,75,93
20223,3221,3432
9889,2396,2673
13794,2429,2779
85310,15936,17542
39387,6728,7542
401,61,64
28281,4844,5478
11928,2375,2676
30834,6459,7328
14492,2966,3377
1571,310,362
33011,5344,5659
48860,7829,8656
112741,21043,22616
2864,392,461
95807,16622,18153
34606,5679,5998
85371,13973,15403
31684,6116,7001
75308,16604,18701
641,131,134
18456,3265,3672
107345,20474,22920
92952,17173,19238
23816,4021,4485
22681,4195,5235
7237,1281,1560
77213,15169,16403
19348,3317,3882
12055,2260,3145
54126,9567,11026
43020,7516,8595
5391,768,1109
20867,3753,4318
9382,1815,2407
8118,1410,1801
13865,2498,3004
20969,4062,4377
6072,1106,1323
79,20,20
4392,748,924
7798,1464,1839
23972,4985,5426
25113,4490,5854
9612,1531,1965
2343,447,586
5340,983,1228
20222,4414,5190
2601,450,594
56880,9778,12658
1369,224,309
919,178,216
1757,341,432
79,20,20
79,20,20
13974,2311,2438
40796,7673,8481
4688,825,892
9799,1632,1751
37175,6205,6643
1316,186,236
19084,3165,3365
20016,3834,4251
32507,6765,7638
2640,536,598
25995,5410,5912
23585,4457,4822
4832,1040,1151
3139,730,806
10906,2008,2217
9852,2278,2524
23680,4508,5251
77447,13435,15083
499,83,99
16065,2744,2918
5725,1024,1182
7909,1452,1599
13183,2887,3523
53176,10061,12416
8256,1765,1982
5734,1252,1537
30945,5946,6610
30244,5232,5891
6381,1072,1180
43913,7797,8885
735,118,162
30431,5184,5808
15833,2720,2929
12050,2357,2605
9503,2291,2740
1980,416,502
37630,7160,8439
5772,1175,1284
19994,3750,4306
24517,4116,4541
52904,8453,9113
25222,4358,4602
119902,19915,21217
43504,7081,7515
10604,1701,1838
86407,14336,15406
39740,6575,7066
1518,194,224
2589,425,467
9191,1526,1675
33397,5439,6097
20710,3867,4447
57958,11660,13387
13637,2764,3041
3667,614,706
66700,13263,14754
27269,5507,6103
38900,6832,7420
3042,488,558
5122,776,922
32849,4822,5854
5571,851,1136
16462,2712,3008
246,47,54
92657,14096,15763
38639,6530,7477
63623,12601,14035
7933,1393,1638
23153,4276,4881
6319,1231,1490
10109,1862,2086
16937,3118,3576
20414,4229,4869
8681,1449,1902
7487,1472,1651
830,116,148
64059,10892,11931
5032,986,1067
56086,10994,12544
663,146,188
3762,764,1032
1889,414,521
790,155,195
49353,5461,6555
39320,7313,9982
5641,926,1201
455,91,116
671,112,146
1616,263,383
2446,480,655
428,92,114
31189,10014,13218
8117,1569,2181
2327,342,435
1666,379,493
2701,505,622
1891,306,421
2373,404,537
3547,607,789
2607,432,475
1539,354,370
2709,492,545
3177,657,717
3616,662,709
3056,715,808
11349,2108,2450
1445,302,334
5248,1371,1541
3714,864,952
2633,461,487
2070,469,503
3332,661,696
4756,1018,1287
1951,365,413
6763,1009,1147
2590,513,565
7845,1507,1678
7643,1556,1759
4463,813,941
4628,977,1061
2779,584,643
4147,849,918
4272,920,1054
1194,252,275
3492,718,778
2466,607,666
1888,393,421
2884,656,736
2409,503,551
2176,424,467
8336,1813,2004
2128,533,578
2174,551,602
2647,523,583
12718,2759,3079
1515,363,378
7476,1661,1831
17512,3442,3955
16441,3205,3605
15051,3023,3473
10351,1982,2245
8442,1636,1908
27896,5906,6797
22889,4611,5329
7299,1398,1772
5443,1149,1238
1746,357,413
4676,950,1100
5351,1061,1289
11461,2221,2413
11284,2337,2674
6389,1194,1366
4822,892,968
6475,1265,1392
8527,1663,1880
11546,1919,2199
7864,1584,1724
9226,1796,2037
10451,1932,2143
7818,1438,1581
8978,1840,2055
9070,1625,1794
8254,1632,1856
2489,501,535
4684,968,1055
9982,2095,2238
4461,1133,1233
8835,1632,1822
7873,1611,1816
4944,993,1093
4557,911,954
3125,589,668
8178,1767,2152
3023,703,805
6582,1395,1679
4988,1089,1186
5277,1052,1217
4109,934,1060
3431,701,807
6145,1326,1490
2222,552,630
3318,782,873
2020,444,480
2095,458,510
2354,501,576
6814,1400,1610
10541,2032,2399
4495,867,1042
32518,6346,7469
11145,1976,2378
8061,1640,2033
10564,1846,2193
7770,1588,1957
13491,2755,3380
16319,3284,3976
8268,1904,2393
9596,1870,2118
5226,1112,1272
4897,976,1130
6687,1370,1614
5494,1229,1493
14707,2830,3382
3405,726,776
8174,1396,1629
3197,675,722
7746,1519,1700
4582,1009,1257
10283,2055,2294
7368,1437,1614
6332,1205,1316
3583,847,950
3785,870,990
6520,1298,1498
3472,970,1098
4794,1075,1208
2261,486,553
3731,883,1000
6855,1558,1785
4340,880,972
8690,1674,1868
1580,374,411
5978,1132,1305
1249,266,300
2724,612,648
1722,298,348
4082,857,958
5242,962,1079
4106,861,1018
6606,1471,1726
1745,363,426
2363,453,543
4052,764,885
2060,414,457
8575,1522,1693
3876,759,904
9937,2284,2483
2754,529,593
4848,1280,1428
7006,1553,1673
6208,1092,1220
8147,1513,1867
3929,718,786
6162,1399,1551
1599,405,435
5875,1217,1416
3636,784,854
3283,749,823
5567,1230,1355
4604,1064,1157
23675,4691,5753
1668,446,470
3184,688,801
2306,542,608
3006,674,812
6148,1374,1574
9417,2090,2290
7121,1461,1658
3866,759,965
5514,1214,1304
2092,440,485
7774,1771,1965
2678,580,620
2137,418,438
11554,2438,2805
1975,475,532
8855,1851,2059
3105,728,811
1278,336,358
2154,461,508
4262,868,969
4795,1095,1213
1428,396,451
1978,489,516
7780,1540,1749
22561,4335,5085
8783,1743,1940
1298,376,416
2957,601,658
3776,887,973
2904,646,702
2087,457,524
2095,541,568
5822,1160,1254
6917,1358,1587
2711,614,672
4089,864,964
4231,841,1001
7287,1479,1641
3197,629,736
13269,2628,2954
8824,1854,2247
2826,786,916
3989,927,1057
7982,1840,1993
8401,1926,2102
5133,1110,1221
6102,1381,1534
2098,500,553
2089,410,465
2870,607,654
6264,1395,1519
9537,1774,1970
3713,712,791
2631,528,550
29785,6003,6944
3911,759,833
4541,960,1134
23067,4976,5864
11503,2289,2459
2858,574,629
15421,3327,3878
6224,1234,1327
7577,1429,1601
4357,931,1054
5839,1184,1359
5453,1139,1291
4645,1014,1154
12012,2382,2741
7400,1318,1525
9098,1816,2047
6912,1463,1613
11367,2235,2498
3216,703,803
1854,365,412
2837,552,603
1722,407,446
3858,811,876
3620,695,758
7436,1438,1630
1708,274,315
7521,1578,1842
3459,640,694
8579,1702,2017
27300,5256,5637
7440,1493,1662
6637,1543,1710
4074,940,1031
5082,985,1096
2564,593,661
6206,1023,1108
2885,604,662
2216,451,490
16907,3312,3899
3907,982,1110
4102,964,1194
7594,1482,1817
4288,977,1095
6004,1478,1741
6473,1237,1360
18569,3395,3673
10645,2038,2358
7742,1526,1816
6416,1167,1339
2689,572,630
8931,1763,2036
3739,850,939
7238,1476,1628
10260,2148,2489
3152,576,678
6680,1232,1456
5259,974,1093
4334,961,1004
10235,2001,2322
13595,2876,3216
3058,701,759
2639,564,671
6087,1263,1355
2733,545,594
16702,3413,4064
7236,1651,1795
3315,689,792
4260,810,866
4952,1133,1276
2624,574,638
13974,2489,2922
11519,2374,2670
4672,954,1066
10759,2693,2999
12177,2405,2717
6044,1185,1344
6195,1298,1551
1598,251,301
5792,913,1297
28179,4931,6244
8116,1458,2164
12033,2158,2616
5460,929,1325
805,178,243
1785,408,515
3036,506,831
5055,1094,1336
817,145,187
5496,1211,1364
1270,317,337
6931,1285,1455
9516,1681,1977
857,192,222
5334,1070,1143
8566,1379,1609
6674,1197,1388
18123,3536,4285
5561,1136,1287
11031,1950,2304
4246,923,1028
3098,595,647
5765,1105,1258
7285,1433,1675
15395,3019,3459
3624,689,781
7745,1580,1786
6416,1231,1446
3968,841,928
9419,1889,2323
1820,382,425
2759,535,604
11247,2023,2235
3121,576,626
3357,676,792
3507,678,749
1243,269,287
3526,772,839
3262,614,727
5416,1054,1235
5814,1059,1225
1920,421,474
2555,502,564
2622,558,589
7431,1145,1364
1479,340,354
4416,883,1000
4428,953,1077
6028,1228,1489
5720,1185,1365
3918,768,854
5191,1156,1229
2406,347,425
1310,256,291
2925,472,534
1140,174,204
7347,1305,1575
49,10,11
2995,393,477
1363,221,247
6606,997,1164
2371,441,512
820,144,168
762,127,152
329,78,84
175,27,34
5801,846,1080
8112,1352,1604
3196,620,729
16833,3116,3782
25100,4144,5117
71919,12111,14218
24348,4223,4751
13853,2300,2801
23778,4341,5059
3885,667,742
44497,8240,9387
13830,2489,2745
13062,2206,2710
63484,11507,13113
4405,874,995
9913,1852,2126
25930,4249,5532
16778,3065,3435
8799,1614,1770
4281,793,920
2736,494,606
1300,227,265
66193,11750,14098
391,70,75
2253,444,459
4892,778,935
27476,5008,5538
10668,2100,2472
1184,212,245
20342,3792,4274
3090,635,691
103019,17461,20325
10850,2061,2233
44147,7415,8560
36228,6193,7563
6251,1197,1596
1153,233,261
4250,702,984
778,155,172
26644,4790,5759
37552,7018,8293
6484,1059,1327
4463,755,860
3776,696,892
3167,569,647
42100,7310,8017
13536,2270,2690
39450,7196,8656
59802,10147,11445
2667,476,617
1153,207,271
3596,647,790
7010,1222,1481
327,61,68
9343,1573,1913
2726,494,618
5250,825,1043
6162,986,1342
4542,840,1022
49290,9349,11280
1954,395,485
1289,258,312
8994,1755,2103
4920,931,1081
21407,3835,4342
190,24,30
3475,653,754
49229,8822,10007
25075,4425,5061
10542,1896,2208
11686,2315,2763
315,52,56
89879,15315,17923
24460,4645,5379
18132,3298,3942
60879,10680,12311
521,88,100
9287,1838,2073
11624,2362,3067
66,11,12
1958,379,430
236,37,40
485,106,115
87,12,15
514,108,112
598,170,173
646,153,156
584,169,170
639,138,150
560,130,140
464,92,106
5721,1235,1443
1289,199,267
81,13,13
366,78,83
1549,301,331
1071,195,225
88,14,15
87,14,15
87,14,15
2370,492,541
5769,1315,1503
4989,1015,1257
4969,1015,1273
2155,434,561
7575,1373,1762
166,36,37
631,135,172
291,58,62
205,42,44
98,22,24
236,48,49
383,90,108
3235,624,787
34932,6182,7189
61060,10110,11819
51378,7836,9330
315,58,67
50026,8572,9682
55398,8552,10024
7101,1185,1375
29950,5319,6743
16687,2712,3248
6740,1172,1412
16450,2825,3359
24695,4169,4802
23666,3715,4457
2889,484,595
1382,284,303
121057,20366,23973
8675,1527,1630
118766,20219,23814
46590,7742,9304
1925,414,488
8364,1412,1593
61781,10503,12353
4949,868,1035
1508,261,300
4065,767,887
45601,7202,8126
10314,1941,2262
8225,1339,1629
7182,1090,1293
39200,6182,7259
40466,6797,7784
34848,5669,6314
6738,1451,1675
18926,3795,4295
15535,2631,3031
6821,1150,1311
793,155,174
20997,3317,3982
20298,3945,4711
28198,5274,6287
2379,466,544
11688,2372,2825
12226,1780,2201
3534,600,716
5404,1011,1189
78344,13580,16177
1876,408,458
94587,15802,18095
101474,17446,21076
7857,1184,1457
8065,1517,1840
39690,5561,6959
64148,11685,13476
5869,1075,1328
55902,9745,11325
12797,2138,2499
45861,7794,9138
463,85,104
424,86,96
230,41,43
170,38,40
239,46,55
52599,10681,12768
1456,330,395
142,26,26
321,71,72
375,72,77
85,16,16
254,43,43
198,42,47
319,56,56
168,31,32
279,56,62
242,48,48
125,25,25
184,38,41
125,25,25
115,23,26
131,27,27
91,18,18
246,42,49
91,18,18
205,38,42
223,35,41
70,8,11
89,16,16
90,16,17
89,16,16
90,16,17
89,16,16
125,19,22
85,16,16
226,51,55
333,80,81
335,80,81
119,23,23
87,16,17
919,181,230
285,58,62
297,58,62
470,94,112
630,115,150
343,70,73
369,72,77
163,29,29
108,17,20
137,24,25
382,61,77
518,83,105
425,77,86
614,159,170
339,57,66
347,57,68
