rank,token,frequency
1,.,273715
2,",",217889
3,(,175677
4,=,165422
5,"""",112862
6,),100150
7,:,76758
8,0,52354
9,the,51794
10,""",",50419
11,#,48703
12,1,47932
13,""":",47229
14,-,46282
15,[,42020
16,self,32044
17,X,31787
18,def,29660
19,of,28063
20,None,26839
21,is,25011
22,):,24965
23,in,24562
24,`,23934
25,to,23857
26,_,23521
27,2,23268
28,a,22369
29,np,22046
30,assert,21545
31,for,21261
32,if,20914
33,import,20546
34,{,20448
35,"""""""",19983
36,],19613
37,==,19466
38,/,19107
39,y,18411
40,from,17973
41,"(""",17155
42,and,16634
43,(),16437
44,"],",15929
45,pytest,15141
46,s,14799
47,""")",14211
48,',14017
49,return,13994
50,"=""",13744
